"","City","Species","DBH","TF","BLVD","SidewalkDamage","trunk_shape"
"75",2,2,12,3.6,9,0,"Circular"
"76",2,2,11,3.6,9,0,"Circular"
"77",2,2,13,4.5,6.8,0,"Oval"
"78",2,2,10,3.2,5,0,"Circular"
"79",2,2,14,4.1,6.3,0,"Circular"
"80",2,2,10,3.7,6.4,0,"Oval"
"81",2,2,15,5.4,3.2,0,"Circular"
"82",4,2,18,7.2,13.8,0,"Circular"
"83",4,2,25,8.4,5,0,"Circular"
"84",4,2,24,7.9,5,0,"Oval"
"85",4,2,12,3.9,16,0,"Circular"
"86",4,2,11,4.4,16,0,"Oval"
"87",4,2,16,5.7,10,0,"Circular"
"88",1,2,15,5.6,7,0,"Circular"
"89",1,2,22,10.1,12,0,"Circular"
"90",5,2,6,2.4,11,0,"Circular"
"91",5,2,6,2.3,11,0,"Circular"
"92",5,2,16,7,9,0,"Circular"
"93",5,2,10,3.9,9,0,"Circular"
"94",5,2,6,2.4,13,0,"Circular"
"95",5,2,15,5.4,5,0,"Circular"
"96",5,2,18,6.7,5,0,"Circular"
"97",5,2,4,1.7,5,0,"Circular"
"98",5,2,5,2.3,5,0,"Circular"
"99",5,2,6,2.3,11,0,"Circular"
"100",5,2,5,1.7,12,1,"Circular"
"101",2,3,2,0.6,9,0,"Circular"
"102",2,3,2,0.5,9,0,"Circular"
"103",3,3,13,4.4,9,1,"Circular"
"104",3,3,12,3.7,9,1,"Circular"
"105",3,3,7,2.3,9,1,"Circular"
"106",3,3,18,6.4,9,1,"Circular"
"107",3,3,18,6.7,9,1,"Circular"
"108",6,4,33,14.3,9,1,"Circular"
"109",6,4,12,5.4,6.5,0,"Oval"
"110",6,4,16,6.4,6.5,1,"Circular"
"111",6,4,10,4.8,10.5,0,"Circular"
"112",6,4,40,18.8,10,1,"Circular"
"113",6,4,12,5.1,10,1,"Circular"
"114",6,4,25,12.1,8,1,"Circular"
"115",6,4,28,13.8,8,0,"Circular"
"116",4,4,24,8.8,8.5,0,"Circular"
"117",2,4,20,6.3,7.5,0,"Circular"
"118",2,4,28,9.2,9,1,"Circular"
"119",2,4,43,16.2,3,0,"Circular"
"120",2,4,38,13.4,3,0,"Oval"
"121",2,4,31,14.6,2.5,0,"Circular"
"122",2,4,17,7,9,1,"Circular"
"123",2,4,30,10.9,12,0,"Circular"
"124",2,4,22,10.4,10,1,"Circular"
"125",2,4,19,6.9,10,1,"Circular"
"126",2,4,28,14,4.6,0,"Circular"
"127",4,4,30,11.4,5,0,"Circular"
"128",4,4,44,12.5,8.5,0,"Circular"
"129",4,4,8,2.5,12,0,"Circular"
"130",4,4,39,11.9,6.7,0,"Circular"
"131",4,4,18,6.7,8,0,"Circular"
"132",1,4,24,9.3,11,0,"Circular"
"133",1,4,24,8.7,11,0,"Circular"
"134",3,4,28,10.3,10,1,"Circular"
"135",3,4,33,14.6,10,1,"Circular"
"136",3,4,19,5.9,10,1,"Circular"
"137",3,4,24,9.7,10,1,"Circular"
"138",3,4,17,6,10,1,"Circular"
"139",3,4,26,10.3,10,1,"Circular"
"140",3,4,24,8.6,8,1,"Circular"
"141",3,4,22,8.1,8,1,"Circular"
"142",3,4,22,9.6,8,1,"Circular"
"143",3,4,20,6.7,10,0,"Circular"
"144",3,4,23,9.9,10,0,"Circular"
"145",3,4,30,10,10,0,"Circular"
"146",3,4,22,8,10,1,"Circular"
"147",3,4,15,6.3,10,0,"Circular"
"148",3,4,27,8.9,0,0,"Circular"
"149",3,4,29,10.7,10,1,"Circular"
"150",3,4,17,5.6,8,1,"Circular"
"151",3,4,10,4.9,8,1,"Circular"
"152",3,4,14,6.6,8,1,"Circular"
"153",3,4,7,3.2,8,1,"Circular"
"154",3,4,5,2,8,1,"Circular"
"155",5,4,6,2.2,7,0,"Circular"
"156",5,4,8,2.8,7,0,"Oval"
"157",5,4,4,1.8,11,0,"Circular"
"158",5,4,5,1.9,10,0,"Circular"
"159",5,4,32,14.1,10,1,"Circular"
"160",5,4,24,11.3,10,1,"Circular"
"161",5,4,15,8.2,9,0,"Circular"
"162",5,4,12,4.7,12,0,"Circular"
"163",5,4,10,3.6,12,0,"Circular"
"164",5,4,21,10.6,9,1,"Circular"
"165",5,4,22,10.3,9,1,"Circular"
"166",5,4,17,7.7,8,0,"Circular"
"167",5,4,8,3,10,1,"Circular"
"168",5,4,35,14,10,0,"Circular"
"169",5,4,35,13.4,10,1,"Circular"
"170",5,4,14,4.9,9,0,"Circular"
"171",5,4,9,3.3,9,0,"Circular"
"172",5,4,10,4.1,13,0,"Circular"
"173",5,4,7,2.2,10,0,"Circular"
"174",5,4,11,3.7,11,0,"Circular"
"175",5,4,21,8.9,15,1,"Circular"
"176",5,4,6,2.4,11,0,"Circular"
"177",5,4,9,3.4,6,0,"Circular"
"178",5,4,11,4.9,15,0,"Circular"
"179",5,4,9,3.2,15,0,"Circular"
"180",5,4,11,4.7,9,1,"Circular"
"181",1,4,7,2.9,7,0,"Circular"
"182",1,4,17,5.9,13,1,"Circular"
"183",1,4,22,9.2,12,0,"Circular"
"184",1,4,8,3.2,11,1,"Circular"
"185",1,4,6,2.5,11,1,"Circular"
"186",1,4,12,5.4,9,0,"Circular"
"187",3,4,26,10,9,1,"Circular"
"188",3,4,36,14.7,10,1,"Circular"
"189",3,4,35,14,10,1,"Circular"
"190",3,4,27,11,10,1,"Circular"
"191",3,4,28,10.5,10,1,"Circular"
"192",3,4,14,4.6,10,1,"Circular"
"193",3,4,14,4.2,10,1,"Circular"
"194",3,4,20,6.8,10,1,"Circular"
"195",3,4,18,6.7,10,1,"Circular"
"196",3,4,14,5.1,10,1,"Circular"
"197",3,4,20,7.5,10,1,"Circular"
"198",3,4,12,4.3,10,1,"Circular"
"199",3,4,10,3.9,10,1,"Circular"
"200",3,4,11,4.7,10,1,"Circular"
"201",3,4,12,5.1,9,1,"Circular"
"202",3,4,20,8.7,9,1,"Circular"
"203",3,4,13,4.5,4,0,"Circular"
"204",6,5,20,7.9,6.5,0,"Circular"
"205",6,5,22,10.2,6.5,1,"Circular"
"206",6,5,22,10.7,8.5,1,"Oval"
"207",6,5,18,6.4,9,0,"Circular"
"208",6,5,17,7.5,9,0,"Oval"
"209",6,5,14,4.4,9,1,"Oval"
"210",6,5,5,1.7,6.5,0,"Circular"
"211",6,5,18,5.7,12,0,"Circular"
"212",6,5,14,8,12,0,"Egg"
"213",6,5,22,7.9,6.5,0,"Circular"
"214",6,5,4,1.5,10.5,0,"Circular"
"215",6,5,19,6.4,10.5,0,"Circular"
"216",6,5,14,4.5,10.5,0,"Circular"
"217",4,5,23,8.3,5,0,"Circular"
"218",4,5,23,8.9,5,0,"Oval"
"219",4,5,19,6.3,5,0,"Oval"
"220",4,5,25,9.9,5,0,"Circular"
"221",4,5,22,7.8,5,0,"Circular"
"222",6,5,10,3.2,10,0,"Oval"
"223",4,5,12,3.8,11,0,"Circular"
"224",4,5,9,3.1,8,0,"Circular"
"225",2,5,6,2.3,9,1,"Circular"
"226",2,5,26,7.8,9,0,"Circular"
"227",2,5,17,5.3,5.8,0,"Circular"
"228",2,5,15,5.2,9,0,"Circular"
"229",2,5,18,6.5,10,1,"Oval"
"230",2,5,14,5.7,4,0,"Oval"
"231",4,5,17,6.6,2.3,0,"Circular"
"232",4,5,21,6.7,2.3,0,"Circular"
"233",4,5,14,3.2,2.3,0,"Circular"
"234",4,5,18,7.2,2.3,0,"Circular"
"235",4,5,20,7.9,2.3,0,"Oval"
"236",4,5,15,5.4,2.3,0,"Circular"
"237",4,5,21,6.5,2.3,0,"Circular"
"238",4,5,18,6.4,2.3,0,"Circular"
"239",4,5,17,6.5,5,0,"Circular"
"240",4,5,20,7.9,5,0,"Circular"
"241",4,5,21,8.7,5,0,"Circular"
"242",4,5,23,8.9,5,0,"Circular"
"243",4,5,17,7.2,5,0,"Circular"
"244",4,5,28,9.3,5,0,"Circular"
"245",4,5,21,7.4,5,0,"Circular"
"246",4,5,7,2.1,13.8,0,"Circular"
"247",4,5,11,4.3,6,0,"Egg"
"248",4,5,18,6.7,4,0,"Circular"
"249",4,5,21,8.9,4,0,"Circular"
"250",4,5,20,7.8,4,0,"Oval"
"251",4,5,9,4,11,0,"Oval"
"252",4,5,23,8.1,11,0,"Oval"
"253",4,5,24,9.4,11,0,"Circular"
"254",4,5,18,7,11,0,"Oval"
"255",4,5,10,3.4,11,0,"Circular"
"256",4,5,22,6.4,11,0,"Circular"
"257",4,5,22,7.4,11,0,"Oval"
"258",4,5,22,8.3,11,0,"Oval"
"259",4,5,21,7.3,11,0,"Circular"
"260",4,5,23,8.1,11,0,"Oval"
"261",4,5,10,3.9,11,0,"Oval"
"262",4,5,10,3.7,16,0,"Circular"
"263",4,5,5,2.3,20,0,"Circular"
"264",4,5,22,8.5,9,1,"Circular"
"265",4,5,10,4.1,7,0,"Circular"
"266",4,5,8,3.1,7,0,"Circular"
"267",4,5,9,3.5,7,0,"Circular"
"268",1,5,12,3.6,8,0,"Circular"
"269",1,5,12,3.7,8,0,"Circular"
"270",3,5,4,1.5,8,1,"Circular"
"271",3,5,7,2.5,9,0,"Circular"
"272",3,5,7,2.4,8,1,"Circular"
"273",3,5,5,1.9,8,0,"Circular"
"274",5,5,21,6.6,8,0,"Circular"
"275",3,5,9,2.9,9,1,"Circular"
"276",6,6,15,6,5,0,"Circular"
"277",3,6,12,5,10,0,"Circular"
"278",3,6,13,4.4,10,0,"Circular"
"279",3,6,12,4.9,10,1,"Circular"
"280",3,6,8,2.6,5,0,"Circular"
"281",3,6,8,2.3,5,0,"Circular"
"282",3,6,19,6.5,9,1,"Circular"
"283",3,6,18,7.7,9,1,"Circular"
"284",3,6,16,5.6,9,1,"Circular"
"285",3,6,16,6.8,9,1,"Circular"
"286",3,6,19,7,9,1,"Circular"
"287",3,6,18,6.7,9,1,"Circular"
"288",3,6,14,5.2,9,1,"Circular"
"289",3,6,19,7.5,9,1,"Circular"
"290",3,6,20,8.6,10,1,"Oval"
"291",3,6,15,5.8,10,1,"Circular"
"292",3,6,12,3.9,9,1,"Circular"
"293",3,6,21,8.2,10,1,"Circular"
"294",3,6,10,3.6,9,1,"Circular"
"295",6,7,23,9.9,6.5,1,"Circular"
"296",6,7,11,5,10,0,"Circular"
"297",6,7,11,5.6,0,0,"Circular"
"298",6,7,18,6,0,0,"Circular"
"299",6,7,23,8.1,6.5,0,"Oval"
"300",6,7,17,5.5,6.5,1,"Circular"
"301",6,7,11,3.8,6.5,0,"Circular"
"302",6,7,26,10,6.5,1,"Circular"
"303",6,7,21,7.2,6.5,1,"Circular"
"304",6,7,20,6.7,6.5,1,"Circular"
"305",6,7,24,8.3,6.5,1,"Circular"
"306",6,7,18,5.6,6.5,0,"Circular"
"307",6,7,14,5,6.5,1,"Circular"
"308",6,7,7,2.2,6.5,1,"Circular"
"309",6,7,8,2.5,6.5,0,"Circular"
"310",6,7,7,2.6,7.5,0,"Circular"
"311",6,7,18,5.8,7.5,0,"Circular"
"312",6,7,6,2,7.5,0,"Circular"
"313",6,7,17,5.3,7.5,0,"Circular"
"314",6,7,16,5.3,7.5,0,"Circular"
"315",6,7,17,5.4,7.5,0,"Circular"
"316",6,7,19,6.7,6.5,1,"Circular"
"317",4,7,21,8.2,10,1,"Circular"
"318",4,7,15,5.6,10,0,"Circular"
"319",4,7,22,8.2,10,1,"Circular"
"320",4,7,20,6.9,10,1,"Circular"
"321",4,7,17,5.7,10,0,"Circular"
"322",4,7,31,11.4,5,0,"Circular"
"323",4,7,24,7.9,5,0,"Circular"
"324",4,7,27,9.6,5,0,"Circular"
"325",4,7,28,8.9,5,0,"Circular"
"326",4,7,19,6.5,5,0,"Circular"
"327",4,7,23,8.7,5,0,"Circular"
"328",6,7,14,4.3,6.5,0,"Circular"
"329",6,7,11,3.6,6.5,0,"Circular"
"330",6,7,12,3.7,6.5,1,"Circular"
"331",6,7,15,5.7,6.5,0,"Circular"
"332",6,7,23,8.7,8,0,"Circular"
"333",6,7,30,9.7,8,1,"Circular"
"334",2,7,28,9.3,11,0,"Circular"
"335",2,7,18,6.4,2.7,0,"Circular"
"336",4,7,19,7.6,14,0,"Circular"
"337",4,7,17,6.6,14,0,"Circular"
"338",4,7,10,3.8,8,0,"Circular"
"339",2,7,17,6.3,9,0,"Circular"
"340",2,7,21,7.8,9,0,"Circular"
"341",2,7,14,4.3,9,0,"Circular"
"342",2,7,25,7.6,9,0,"Circular"
"343",2,7,23,7.4,9,0,"Circular"
"344",2,7,13,4.5,9,0,"Circular"
"345",2,7,13,4.3,9,0,"Oval"
"346",2,7,17,6.3,9,0,"Circular"
"347",2,7,15,6.1,9,0,"Circular"
"348",2,7,8,2.9,9,0,"Circular"
"349",2,7,15,5.1,9,1,"Circular"
"350",2,7,15,4.4,9,0,"Circular"
"351",2,7,22,7.6,9,0,"Circular"
"352",2,7,21,7.1,9,1,"Circular"
"353",2,7,29,8.6,12.7,0,"Circular"
"354",2,7,16,5.6,7.3,0,"Circular"
"355",2,7,27,9.4,9,0,"Circular"
"356",2,7,21,6.8,9,1,"Circular"
"357",2,7,11,3.8,9,0,"Circular"
"358",2,7,22,6.6,7.5,1,"Circular"
"359",2,7,25,8.3,9,1,"Circular"
"360",2,7,20,6.4,9,1,"Circular"
"361",2,7,20,7.9,9,0,"Circular"
"362",2,7,25,8.6,9,0,"Circular"
"363",2,7,21,7.9,2.3,0,"Oval"
"364",2,7,17,5.5,2.9,0,"Circular"
"365",2,7,21,7.7,8,0,"Oval"
"366",2,7,20,7.7,8,0,"Circular"
"367",2,7,17,5.8,4.2,0,"Circular"
"368",2,7,21,6.9,4.2,0,"Circular"
"369",2,7,21,7.2,4.2,0,"Circular"
"370",2,7,12,5.1,7.5,0,"Oval"
"371",2,7,23,8.2,7.5,0,"Circular"
"372",2,7,17,5.5,7.5,0,"Circular"
"373",2,7,22,8.1,7.5,0,"Circular"
"374",2,7,23,8.1,7.5,0,"Circular"
"375",2,7,18,6.6,1,0,"Oval"
"376",2,7,12,4.6,2,0,"Circular"
"377",2,7,20,7.8,2,0,"Circular"
"378",2,7,24,10.1,2,0,"Circular"
"379",2,7,20,6.7,3,0,"Circular"
"380",2,7,21,7.1,5.4,0,"Circular"
"381",2,7,32,9.8,3.5,0,"Circular"
"382",2,7,20,5.9,5.5,0,"Circular"
"383",2,7,16,5.4,5.5,0,"Circular"
"384",2,7,24,10.6,5.5,0,"Circular"
"385",2,7,25,7.9,5.5,0,"Circular"
"386",2,7,18,6.4,9,0,"Oval"
"387",2,7,25,8.6,9,1,"Circular"
"388",2,7,19,7.8,9,1,"Circular"
"389",2,7,12,4.3,9,0,"Circular"
"390",2,7,18,6.6,9,1,"Circular"
"391",2,7,19,8.3,3.9,0,"Circular"
"392",2,7,22,8.2,3,0,"Circular"
"393",2,7,21,7.4,3,0,"Circular"
"394",2,7,18,6.9,2.3,0,"Oval"
"395",2,7,23,8.7,9,0,"Circular"
"396",2,7,23,7.3,9,1,"Circular"
"397",2,7,26,9,9,1,"Circular"
"398",2,7,20,5.9,9,1,"Circular"
"399",2,7,17,5.5,9,1,"Circular"
"400",4,7,23,9,3.6,0,"Circular"
"401",4,7,18,6.6,3.6,0,"Circular"
"402",4,7,21,9.9,3.6,0,"Egg"
"403",4,7,16,5.4,3.6,0,"Circular"
"404",2,7,17,6.5,2.8,0,"Circular"
"405",2,7,19,7.1,2.4,0,"Circular"
"406",2,7,20,7.9,2,0,"Oval"
"407",2,7,19,7.1,2.3,0,"Circular"
"408",4,7,20,7.7,3.6,0,"Circular"
"409",4,7,20,6.8,3.6,0,"Circular"
"410",4,7,15,5.8,3.6,0,"Oval"
"411",4,7,20,8.7,3.6,0,"Circular"
"412",4,7,16,6.8,3.6,0,"Circular"
"413",4,7,21,8.4,3.6,0,"Circular"
"414",4,7,22,9.3,3.6,0,"Circular"
"415",4,7,15,5.2,3.6,0,"Circular"
"416",4,7,22,8.8,3.6,0,"Circular"
"417",4,7,22,8.3,3.6,0,"Circular"
"418",4,7,19,7.1,5,0,"Circular"
"419",4,7,28,10.5,5,0,"Circular"
"420",4,7,22,7.7,5,0,"Circular"
"421",4,7,12,4,5.7,0,"Circular"
"422",4,7,31,10.1,9.5,0,"Circular"
"423",4,7,25,7.7,9.5,0,"Circular"
"424",4,7,24,8.4,13.8,0,"Circular"
"425",4,7,19,7.6,6.7,0,"Circular"
"426",4,7,24,8.4,6,0,"Circular"
"427",4,7,9,3.6,5,0,"Circular"
"428",4,7,17,6.5,5,0,"Circular"
"429",4,7,27,11.4,5,0,"Circular"
"430",4,7,20,7.7,5,0,"Circular"
"431",4,7,21,7.5,16,0,"Egg"
"432",4,7,23,7.7,16,1,"Circular"
"433",4,7,16,5.9,16,0,"Circular"
"434",4,7,21,8.6,20,0,"Circular"
"435",4,7,19,7.1,20,1,"Circular"
"436",4,7,15,6.2,10,0,"Circular"
"437",1,7,15,5.4,7,0,"Circular"
"438",1,7,16,6.5,7,0,"Circular"
"439",1,7,28,10.9,6,0,"Circular"
"440",1,7,12,4.8,6,0,"Circular"
"441",1,7,9,3.2,6,0,"Circular"
"442",1,7,14,4.8,12,0,"Circular"
"443",1,7,13,4.9,12,0,"Circular"
"444",1,7,21,6.6,12,0,"Circular"
"445",1,7,12,4.2,5,0,"Circular"
"446",1,7,11,3.6,5,0,"Circular"
"447",1,7,15,5.3,5,0,"Circular"
"448",1,7,17,6.1,5,0,"Circular"
"449",1,7,16,5.4,5,0,"Circular"
"450",1,7,16,5.9,5,0,"Circular"
"451",1,7,15,5.1,5,0,"Circular"
"452",1,7,14,5.3,5,0,"Circular"
"453",1,7,11,4.1,5,0,"Oval"
"454",1,7,7,2.2,8,0,"Circular"
"455",1,7,8,3,8,0,"Circular"
"456",1,7,13,4.9,9,0,"Circular"
"457",1,7,11,4.2,9,0,"Circular"
"458",3,7,15,5.6,9,1,"Circular"
"459",3,7,27,8.3,9,1,"Circular"
"460",3,7,18,6.9,9,1,"Circular"
"461",3,7,21,7.3,9,1,"Circular"
"462",3,7,15,5.2,10,1,"Circular"
"463",3,7,15,6,9,1,"Oval"
"464",3,7,15,5,9,1,"Circular"
"465",3,7,11,4.3,10,0,"Circular"
"466",3,7,6,2.4,8,0,"Circular"
"467",3,7,12,4.6,8,0,"Circular"
"468",3,7,9,3.3,8,0,"Circular"
"469",5,7,10,4.2,11,0,"Circular"
"470",5,7,24,8.3,10,1,"Circular"
"471",5,7,13,5,10,1,"Circular"
"472",5,7,9,3.5,9,0,"Oval"
"473",5,7,10,3.4,9,0,"Circular"
"474",5,7,15,6.4,9,1,"Circular"
"475",5,7,11,4.4,9,0,"Circular"
"476",5,7,10,3.8,9,0,"Circular"
"477",5,7,9,3.1,9,0,"Circular"
"478",5,7,20,7.8,9,1,"Circular"
"479",5,7,26,9.2,9,1,"Circular"
"480",5,7,31,13,9,1,"Circular"
"481",5,7,10,4.47,9,0,"Circular"
"482",5,7,9,3.6,9,0,"Oval"
"483",5,7,10,3.6,9,1,"Circular"
"484",5,7,11,3.9,9,1,"Circular"
"485",5,7,13,5.6,9,0,"Egg"
"486",5,7,13,5.7,9,0,"Circular"
"487",5,7,11,4.7,8,1,"Circular"
"488",5,7,6,2.2,8,0,"Circular"
"489",5,7,7,2.7,10,1,"Circular"
"490",5,7,34,12.9,10,1,"Circular"
"491",5,7,23,9.5,10,1,"Circular"
"492",5,7,17,6.1,10,0,"Circular"
"493",5,7,6,2.6,10,0,"Circular"
"494",5,7,25,9.1,10,0,"Circular"
"495",5,7,14,4.7,10,0,"Circular"
"496",5,7,20,7.9,10,0,"Circular"
"497",5,7,20,7.1,10,0,"Circular"
"498",5,7,20,6.8,10,0,"Circular"
"499",5,7,21,7.6,10,0,"Circular"
"500",5,7,19,8.2,9,1,"Circular"
"501",5,7,9,3.4,9,0,"Circular"
"502",5,7,17,6.9,13,0,"Circular"
"503",5,7,6,2.6,13,0,"Circular"
"504",5,7,8,3.5,10,0,"Circular"
"505",5,7,24,10.6,11,1,"Circular"
"506",5,7,10,3.3,11,0,"Circular"
"507",5,7,10,3.9,11,0,"Circular"
"508",5,7,17,5.9,15,0,"Circular"
"509",5,7,15,5.5,15,1,"Circular"
"510",5,7,6,2.2,5,0,"Circular"
"511",5,7,8,3.3,10,0,"Circular"
"512",5,7,10,4,10,0,"Circular"
"513",5,7,30,14.6,10,0,"Circular"
"514",5,7,27,10.1,10,0,"Circular"
"515",5,7,21,10.1,11,0,"Circular"
"516",5,7,13,4.9,11,0,"Circular"
"517",5,7,21,6.9,11,0,"Circular"
"518",5,7,24,9.1,11,0,"Circular"
"519",5,7,24,9.7,11,0,"Circular"
"520",5,7,13,4.8,12,0,"Circular"
"521",5,7,14,5.4,12,0,"Circular"
"522",5,7,15,5.7,12,0,"Circular"
"523",5,7,6,2.7,12,0,"Circular"
"524",5,7,13,4.8,0,0,"Circular"
"525",5,7,16,5.4,6,0,"Circular"
"526",5,7,15,5.7,6,1,"Circular"
"527",5,7,7,2.6,8,1,"Circular"
"528",1,7,10,3.6,7,0,"Circular"
"529",1,7,16,5.5,7,0,"Circular"
"530",1,7,12,4.2,7,0,"Circular"
"531",1,7,12,3.6,7,0,"Circular"
"532",1,7,13,5.1,7,0,"Circular"
"533",1,7,16,6.3,9,0,"Circular"
"534",1,7,28,10.7,10,0,"Circular"
"535",1,7,19,7.4,10,0,"Circular"
"536",1,7,11,4,10,0,"Circular"
"537",1,7,13,5.5,9,0,"Oval"
"538",1,7,10,5,9,0,"Oval"
"539",1,7,7,2.7,8,0,"Circular"
"540",1,7,8,3.3,8,0,"Circular"
"541",1,7,9,3.4,8,0,"Circular"
"542",1,7,20,7.7,12,0,"Circular"
"543",1,7,8,2.9,12,1,"Circular"
"544",1,7,9,3.2,9,0,"Circular"
"545",1,7,11,4.4,12,1,"Circular"
"546",1,7,12,4.2,12,0,"Circular"
"547",1,7,15,5.8,12,0,"Circular"
"548",1,7,10,4.4,12,0,"Circular"
"549",1,7,14,5.7,12,0,"Circular"
"550",1,7,14,6.1,12,0,"Circular"
"551",1,7,14,5.2,10,0,"Circular"
"552",1,7,15,5.2,10,0,"Circular"
"553",1,7,15,4.7,10,1,"Circular"
"554",1,7,13,5.5,12,0,"Circular"
"555",1,7,17,6.9,12,0,"Circular"
"556",1,7,14,5.3,12,1,"Circular"
"557",1,7,12,5.1,10,0,"Circular"
"558",1,7,6,2.1,10,1,"Circular"
"559",1,7,6,2.2,10,0,"Circular"
"560",1,7,14,6.2,10,1,"Circular"
"561",1,7,6,2.3,11,0,"Circular"
"562",1,7,12,4.9,11,1,"Circular"
"563",1,7,13,5.8,11,1,"Circular"
"564",1,7,16,6.2,11,1,"Circular"
"565",1,7,10,3.8,11,1,"Circular"
"566",1,7,16,5.4,14,0,"Circular"
"567",1,7,17,6.1,14,0,"Circular"
"568",1,7,12,4.4,15,1,"Circular"
"569",1,7,16,6.7,15,1,"Circular"
"570",1,7,11,4.4,15,1,"Circular"
"571",1,7,15,5.8,15,1,"Circular"
"572",1,7,15,5.8,15,0,"Circular"
"573",1,7,15,6.8,13,0,"Circular"
"574",1,7,8,2.7,13,1,"Circular"
"575",1,7,32,12.9,13,1,"Circular"
"576",1,7,16,6.2,5,0,"Circular"
"577",1,7,20,7.2,5,0,"Circular"
"578",1,7,21,9,5,0,"Circular"
"579",1,7,19,7.6,14,0,"Circular"
"580",3,7,22,7.3,9,0,"Circular"
"581",3,7,27,9.4,10,0,"Circular"
"582",3,7,17,6.3,10,0,"Circular"
"583",3,7,16,5.3,10,0,"Circular"
"584",3,7,19,7.1,10,0,"Circular"
"585",3,7,14,4.2,10,1,"Circular"
"586",3,7,21,7.8,10,0,"Circular"
"587",3,7,16,5.3,9,0,"Circular"
"588",3,7,15,5.5,9,0,"Circular"
"589",3,7,12,4.2,9,0,"Circular"
"590",3,7,25,9.6,9,1,"Circular"
"591",3,7,12,4.8,9,0,"Circular"
"592",3,7,19,7.3,9,0,"Circular"
"593",3,7,14,6.7,9,1,"Circular"
"594",3,7,15,5.4,9,1,"Circular"
"595",3,7,19,6.5,10,1,"Circular"
"596",3,7,19,7,10,0,"Circular"
"597",3,7,13,5.3,10,0,"Circular"
